job_id,job_title,job_role,role_category,functional_area,employment_type,industry,exp_min,exp_max,exp_text,company_name,location_1,location_2,salary_min,salary_max,salary_hidden,salary_label,created_date,short_desc,source_file,search_term,company_rating,skills_list,skill_count,location,experience_level,salary_disclosed,salary_min_lpa,salary_max_lpa,job_role_clean,broad_role,skills_normalised
180926915757,Software Developer Intern / Trainee,Full Stack Developer,Software Development,Engineering - Software & QA,"Full Time, Permanent",IT Services & Consulting,0,1,0-1 Yrs,Techavidus,Gandhinagar,,0.0,0.0,True,Not Disclosed,2026-09-18 12:47:01,"Final year student or recent graduate in Computer Science or related field with knowledge of Asp.Net MVC/Core, Node JS, Java, Angular, React JS, and Web Designing|Collaborate with cross-functional teams, develop software using specified technologies, and solve technical problems in a fast-paced environment",1.csv,Software Developer / Full Stack / Frontend / Backend,4.6,Java|Software development|Node JS|Web Designing|Angular|React JS,6,Gandhinagar,Entry,False,,,Full Stack Developer,Full Stack Developer,web designing|software development|java|react|node.js|angular
160626503228,Software Developer - Fresher / Trainee,Software Development - Other,Software Development,Engineering - Software & QA,"Full Time, Permanent",Industrial Equipment / Machinery,0,3,0-3 Yrs,Techno Matrix,Pune,,0.0,0.0,True,Not Disclosed,2026-06-16 18:01:19,Hiring recently graduated computer science candidates for the position of software developer fresher position with organisation,1.csv,Software Developer / Full Stack / Frontend / Backend,,c#|css|c++|python|software development|dbms|hibernate|javascript|jquery|sql server|sql|spring|spring boot|software training|java|asp.net|.net|html|mysql|data structures|web development,21,Pune,Entry,False,,,Software Development - Other,Other IT,html|jquery|.net|spring|data structures|software development|python|dbms|c#|c++|software training|hibernate|java|spring boot|web development|javascript|asp.net|sql server|mysql|sql|css
141125501336,Software Developer Trainee / Intern,Front End Developer,Software Development,Engineering - Software & QA,"Full Time, Permanent",IT Services & Consulting,0,2,0-2 Yrs,Liangtuang Technologies,Noida,,,,False,Unpaid,2025-11-14 16:53:33,"Clarity of OOPs concepts . good in logical reasoning nbsp|Positive Attitude,willingness to learn new technologies nbsp| . Good personality,a good team player nbsp",1.csv,Software Developer / Full Stack / Frontend / Backend,3.9,algorithms|css|c++|android|dbms|bootstrap|jquery|react.js|java|oops|json|mysql|html|web development|data structures|mongodb|python|software development|c|react native|javascript|sql server|angular|django|android application development|php|node.js,27,Noida,Entry,True,,,Front End Developer,Frontend Developer,json|html|jquery|react native|data structures|django|android application development|software development|react|python|mongodb|dbms|c++|algorithms|java|web development|php|javascript|sql server|android|bootstrap|node.js|mysql|oops|css|angular
140926022430,Software Developer,Back End Developer,Software Development,Engineering - Software & QA,"Full Time, Permanent",IT Services & Consulting,0,5,0-5 Yrs,M/S Yashuss Unlimited Business Solutions Private L Imited,Mumbai,Mumbai Suburban,300000.0,450000.0,False,3-4.5 Lacs,2026-09-14 22:55:30,"Expertise in Zoho Applications and Deluge scripting, strong database and API integration skills, Zoho certifications preferred|Develop and customize Zoho CRM and Creator applications, build scalable server-side components with Node.js, optimize databases, integrate front-end with React.js, ensure security and performance, and manage deployments",1.csv,Software Developer / Full Stack / Frontend / Backend,,agile development methodologies|Restful Web API Development|Low code no code|Postgresql|Code Review|Graph API|SQL|Software Development|NoSQL|CRM customisation|DB Optimization|Cron Jobs|Deployment and Release Management,13,Mumbai,Entry,True,300000.0,450000.0,Back End Developer,Backend Developer,graph api|db optimization|cron jobs|software development|postgresql|crm customisation|low code no code|code review|agile development methodologies|deployment and release management|restful web api development|nosql|sql
180926501100,Software Developer,Software Developer in Test (SDET),Quality Assurance and Testing,Engineering - Software & QA,"Full Time, Permanent",IT Services & Consulting,0,3,0-3 Yrs,Brilliant Info System,Pune,,0.0,0.0,True,Not Disclosed,2026-09-18 17:47:47,,1.csv,Software Developer / Full Stack / Frontend / Backend,4.1,emerging technologies|python|software development|programming languages|code quality|user interface|sql|database management|java|agile methodologies|agile|front-end development|software developer|programming,14,Pune,Entry,False,,,Software Developer in Test (SDET),Software Developer / Engineer,database management|code quality|programming languages|emerging technologies|software development|agile|software developer|java|agile methodologies|programming|python|user interface|sql|front-end development
310723500254,Software Developer,Software Development - Other,Software Development,Engineering - Software & QA,"Full Time, Permanent",IT Services & Consulting,0,3,0-3 Yrs,Shreecom Info Tech,Pune,,0.0,0.0,True,Not Disclosed,2023-07-31 11:02:27,". Bachelors degree in Information Technology or related field . 2 years of overall IT experience working with dot net C# development framework creating Web applications . |Following all required software development standards,change control procedures,and security requirements within the company|Experience in integrating any payment gateway to web sites a plus .",1.csv,Software Developer / Full Stack / Frontend / Backend,4.6,Web technologies|android application development|Software development life cycle|Customer service|.Net|Troubleshooting|Information technology|SDLC|Ajax,9,Pune,Entry,False,,,Software Development - Other,Other IT,android application development|software development life cycle|ajax|.net|customer service|troubleshooting|web technologies|sdlc|information technology
250325505624,Software Developer,Software Development - Other,Software Development,Engineering - Software & QA,"Full Time, Permanent",Electronic Components / Semiconductors,0,4,0-4 Yrs,Pyrotech Workspace Solutions,Udaipur,,0.0,0.0,True,Not Disclosed,2025-03-25 18:40:06,,1.csv,Software Developer / Full Stack / Frontend / Backend,3.4,Software Developer,1,Udaipur,Entry,False,,,Software Development - Other,Other IT,software developer
150125502056,Software Developer,Software Developer in Test (SDET),Quality Assurance and Testing,Engineering - Software & QA,"Full Time, Permanent",IT Services & Consulting,0,3,0-3 Yrs,Impressive Star Softwares,Jaipur,,0.0,0.0,True,Not Disclosed,2025-01-15 17:36:23,,1.csv,Software Developer / Full Stack / Frontend / Backend,2.8,Tally|Manager Technology|Programming|Business management|Unit testing,5,Jaipur,Entry,False,,,Software Developer in Test (SDET),Software Developer / Engineer,manager technology|unit testing|tally|business management|programming
271223009512,Hiring Fresher Software Developer / Fresher Software Engineer,Full Stack Developer,Software Development,Engineering - Software & QA,"Full Time, Permanent",IT Services & Consulting,0,2,0-2 Yrs,Talent Spot,Chennai,,300000.0,500000.0,False,3-5 Lacs,2026-09-15 15:09:44,"Fresh graduates with BE/BTech, ME/MTech, MCA/MSc (CS, IT), BCA/BSc (CS, IT) degrees passed out between 2020-2026|Undergo free IT skilling and employability enhancement training; develop software skills and prepare for IT sector roles",1.csv,Software Developer / Full Stack / Frontend / Backend,,Java Developer|Java|Front End Developer|React JS|Angular|Python,6,Chennai,Entry,True,300000.0,500000.0,Full Stack Developer,Full Stack Developer,front end developer|java|react|java developer|python|angular
210426502461,SOFTWARE DEVELOPER/ENGINEER,Front End Developer,Software Development,Engineering - Software & QA,"Full Time, Permanent",Software Product,0,3,0-3 Yrs,Myospaz Software Technologies,Pune,,0.0,0.0,True,Not Disclosed,2026-04-21 18:34:49,"Experience with Asp.NET,VB.NET,and C#.NET using AJAX and MVC",1.csv,Software Developer / Full Stack / Frontend / Backend,3.2,jQuery|VB.NET|C|OOPS|Javascript|ASP.Net|MVC|bootstrap|SQL|Ajax,10,Pune,Entry,False,,,Front End Developer,Frontend Developer,mvc|asp.net|vb.net|jquery|sql|bootstrap|javascript|oops|ajax
